species,response,count,min_cl,max_cl,min_dep,max_dep,below_cl,at_cl,above_cl
Achillea millefolium,U,29,0,0,3.41868,4.72398,0,29,0
Actaea rubra,thresh.,2,20.26657152,20.8458356,3.61658,4.06811,2,0,0
Agrostis stolonifera,increase,1,14.718,14.718,3.61658,3.61658,1,0,0
Bromus ciliatus,thresh.,7,5.37105625,5.98911,3.51176,4.48705,7,0,0
Bromus inermis,increase,7,18.948,18.948,3.51176,4.48705,7,0,0
Campanula rotundifolia,thresh.,5,6.69812104,8.18723221,3.7098,4.72398,5,0,0
Cirsium arvense,thresh.,2,4.981,5.5134,3.62319,3.85342,2,0,0
Danthonia spicata,thresh.,1,4.4119899,4.4119899,3.41868,3.41868,1,0,0
Elymus canadensis,saddle/increase,1,0,0,3.51176,3.51176,0,1,0
Elymus trachycaulus,thresh.,3,9.54866256,9.91643982,3.61658,4.72398,3,0,0
Equisetum arvense,saddle/decrease,3,0,0,3.42091,3.85342,0,3,0
Equisetum laevigatum,thresh.,1,9.25387844,9.25387844,3.62319,3.62319,1,0,0
Fragaria vesca,thresh.,10,1.4993368,2.0255416,3.42091,3.85342,0,0,10
Fragaria virginiana,thresh.,7,6.9,6.9,3.58635,4.72398,7,0,0
Galium triflorum,thresh.,1,8.69199596,8.69199596,3.42679,3.42679,1,0,0
Geum triflorum,thresh.,4,7.1155092,8.98482064,3.41868,3.54753,4,0,0
Hesperostipa comata,thresh.,10,7.456,10.828,3.41868,3.61658,10,0,0
Koeleria macrantha,thresh.,12,8.793,9.641,3.41868,4.55176,12,0,0
Linnaea borealis,U,2,0,0,3.98885,4.06811,0,2,0
Maianthemum racemosum,thresh.,1,12.55659912,12.55659912,3.61658,3.61658,1,0,0
Maianthemum stellatum,thresh.,5,8.28335167,8.49159414,3.51176,4.06811,5,0,0
Phleum pratense,saddle/increase,8,0,0,3.51176,4.06811,0,8,0
Poa compressa,thresh.,1,5.808,5.808,3.51176,3.51176,1,0,0
Poa pratensis,thresh.,26,10.59302712,11.57761843,3.41868,4.48705,26,0,0
Pteridium aquilinum,thresh.,2,7.75787651,7.81978306,3.41868,3.51176,2,0,0
Solidago canadensis,thresh.,1,16.559,16.559,3.58635,3.58635,1,0,0
Symphyotrichum ciliolatum,thresh.,1,8.22,8.22,3.51176,3.51176,1,0,0
Taraxacum officinale,U,4,0,0,3.58635,4.48705,0,4,0
Tragopogon dubius,U,3,0,0,3.51176,3.98885,0,3,0
Urtica dioica,increase,1,18.948,18.948,4.06811,4.06811,1,0,0
